Year,Month,Sample_ID,Site,Replicate,Taxa, wt% N,wt% C,Atomic C:N,d15N permil AIR,d13C permil VPDB,,
2023,October,Oct-23,EAS,1,Leptophlebiidae,,57.16,,,-25.71,,
2023,October,Oct-23,EAS,1,Paracapnia,,52.59,,,-29.32,,
2023,October,Oct-23,EAS,1,Acroneuria,16.26,54.37,,4.7,-26.13,,
2023,October,Oct-23,EAS,1,Rhyacophila,,53.47,,,-25.59,,
2023,October,Oct-23,EAS,1,Tallaperla,14.13,58.26,,1.72,-27.1,,
2023,October,Oct-23,EAS,1,Ephemerella,,41.71,,,-26.28,,
2023,October,Oct-23,EAS,1,Stenonema,,58.6,,,-29.04,,
2023,October,Oct-23,EAS,1,Isoperla,15.19,57.01,,5.1,-26.42,,
2023,October,Oct-23,EAS,1,Perlidae,,53.67,,,-25.88,,
2023,October,Oct-23,EAS,2,Dixa,,61.01,,,-26.21,,
2023,October,Oct-23,EAS,2,Stenacron,,40.2,,,-25.65,,
2023,October,Oct-23,EAS,2,Leptophlebiidae,,58.2,,,-26.17,,
2023,October,Oct-23,EAS,2,Dytiscidae,,63.49,,,-28.39,,
2023,October,Oct-23,EAS,2,Diplectrona ,,55.2,,,-26.78,,
2023,October,Oct-23,EAS,2,Hydropsyche,12.62,52.16,,1.68,-26.86,,
2023,October,Oct-23,EAS,2,Cheumatopsyche,9,41.92,,0.92,-27.12,,
2023,October,Oct-23,EAS,2,Pteronarcys,12.05,50.34,,0.11,-26.93,,
2023,October,Oct-23,EAS,2,Tallaperla,13.28,57.62,,1.73,-27.55,,
2023,October,Oct-23,EAS,2,Acroneuria ,17.05,55.14,,5.35,-25.46,,
2023,October,Oct-23,EAS,2,Perlidae ,,54.16,,,-26.68,,
2023,October,Oct-23,EAS,2,Ephemerellidae,,41.69,,,-26.54,,
2023,October,Oct-23,FRY,1,Rhagovelia,10.73,47.9,,1.72,-27.23,,
2023,October,Oct-23,FRY,1,Pteronarcys,11.91,46.11,,4.99,-25.72,,
2023,October,Oct-23,FRY,1,Acroneuria,10.55,46.29,,3.97,-24.48,,
2023,October,Oct-23,FRY,1,Hydropsyche,10.62,45.12,,2.22,-25.81,,
2023,October,Oct-23,FRY,1,Pteronarcys,8.23,45.3,,1.99,-25.48,,
2023,October,Oct-23,FRY,2,Pteronarcys,11.55,43,,8.31,-25.39,,
2023,October,Oct-23,FRY,2,Psephenidae,8.29,46.29,,2.34,-30.63,,
2023,October,Oct-23,FRY,2,Cheumatopsyche,8.6,43.49,,-0.34,-28.58,,
2023,October,Oct-23,FRY,2,Platycentropus,9.6,45.56,,2.04,-29.83,,
2023,October,Oct-23,FRY,2,Helichus,10.37,50.33,,1.06,-26.85,,
2023,October,Oct-23,FRY,2,Tipula,12.11,43.59,,6.27,-26.44,,
2023,October,Oct-23,FRY,2,Acroneuria,11.28,47.91,,3.01,-23.92,,
2023,October,Oct-23,FRY,2,Stenonema,8.76,48.55,,4.03,-26.78,,
2023,October,Oct-23,FRY,2,Pteronarcys,12.35,44.17,,8.16,-25.49,,
2023,October,Oct-23,FRY,1,Tipula,,37.68,,,-26.02,,
2023,October,Oct-23,FRY,2,Microvelia,,50.25,,,-24.35,,
2023,October,Oct-23,FRY,2,Diplectrona,,43.63,,,-26.72,,
2023,October,Oct-23,FRY,2,Dytiscidae,,45.89,,,-25.49,,
2023,October,Oct-23,FRY,1,Rhagovelia,8.29,47.9,,4.27,-27.23,,
2023,October,Oct-23,FRY,1,Pteronarcys,10.73,46.11,,1.72,-25.72,,
2023,October,Oct-23,FRY,1,Pteronarcys,10.62,45.3,,2.22,-25.48,,
2023,October,Oct-23,FRY,1,Acroneuria,11.91,46.29,,4.99,-24.48,,
2023,October,Oct-23,FRY,1,Hydropsyche,10.55,45.12,,3.97,-25.81,,
2023,October,Oct-23,FRY,1,Tipula,,37.68,,,-26.02,,
2023,October,Oct-23,FRY,2,Pteronarcys,9.48,43,,2.25,-25.39,,
2023,October,Oct-23,FRY,2,Pteronarcys,8.23,44.17,,1.99,-25.49,,
2023,October,Oct-23,FRY,2,Stenonema,10.71,48.55,,9.98,-26.78,,
2023,October,Oct-23,FRY,2,Dytiscidae,,45.89,,,-25.49,,
2023,October,Oct-23,FRY,2,Microvelia,,50.25,,,-24.35,,
2023,October,Oct-23,FRY,2,Psephenidae,8.59,46.29,,-0.39,-30.63,,
2023,October,Oct-23,FRY,2,Cheumatopsyche,9.9,43.49,,2.03,-28.58,,
2023,October,Oct-23,FRY,2,Diplectrona,,43.63,,,-26.72,,
2023,October,Oct-23,FRY,2,Platycentropus,,45.56,,,-29.83,,
2023,October,Oct-23,FRY,2,Helichus,9.41,50.33,,3.56,-26.85,,
2023,October,Oct-23,FRY,2,Tipula,10.37,43.59,,1.06,-26.44,,
2023,October,Oct-23,FRY,2,Acroneuria,11.28,47.91,,3.01,-23.92,,
2023,October,Oct-23,RIC,2,Hydropsyche,9.91,50.1,,5.98,-23.35,,
2023,October,Oct-23,RIC,2,Leuctra ,8.95,44.53,,5.91,-25.39,,
2023,October,Oct-23,RIC,2,Pteronarcys,10.47,48.97,,5.4,-23.35,,
2023,October,Oct-23,RIC,2,Cheumatopsyche,9.22,45.66,,6.08,-23.77,,
2023,October,Oct-23,RIC,2,Diplectrona,11.46,58.26,,6.96,-24.06,,
2023,October,Oct-23,RIC,2,Atherix,10.79,46.7,,9.33,-22.69,,
2023,October,Oct-23,RIC,2,Simuliidae,7.71,38.83,,6.27,-24.9,,
2023,October,Oct-23,RIC,2,Boyeria,13.03,51.8,,8.6,-22.21,,
2023,October,Oct-23,RIC,2,Boyeria,11.06,49.64,,7.83,-23.4,,
2023,October,Oct-23,RIC,2,Lanthus,13.06,50.63,,9.74,-22.25,,
2023,October,Oct-23,RIC,2,Macronychus,11.26,54.39,,7.43,-25.43,,
2023,October,Oct-23,RIC,2,Acroneuria ,13.54,54.46,,9.13,-22.51,,
2023,October,Oct-23,RIC,1,Acroneuria,10.35,44.32,,7.38,-22.65,,
2023,October,Oct-23,RIC,1,Hydropsychidae,8.59,45.99,,-0.39,-23.56,,
2023,October,Oct-23,RIC,1,Acroneuria,,46.67,,,-22.66,,
2023,October,Oct-23,RIC,1,Microvelia,,51.88,,,-25.42,,
2023,October,Oct-23,RIC,1,Taeniopteryx,,48.07,,,-23.97,,
2023,October,Oct-23,RIC,1,Leuctridae,,39.97,,,-24.98,,
2023,October,Oct-23,RIC,1,Diplectrona,,47.54,,,-23.58,,
2023,October,Oct-23,RIC,1,Cheumatopsyche,,48.67,,,-23.53,,
2023,October,Oct-23,RIC,1,Microvelia,,51.88,,,-25.42,,
2023,October,Oct-23,RIC,1,Taeniopteryx,,48.07,,,-23.97,,
2023,October,Oct-23,RIC,1,Leuctridae,,39.97,,,-24.98,,
2023,October,Oct-23,RIC,1,Hydropsychidae,11.4,45.99,,6.43,-23.56,,
2023,October,Oct-23,RIC,1,Diplectrona,,47.54,,,-23.58,,
2023,October,Oct-23,RIC,1,Cheumatopsyche,,48.67,,,-23.53,,
2023,October,Oct-23,RIC,1,Acroneuria,10.35,44.32,,7.38,-22.65,,
2023,October,Oct-23,RIC,1,Acroneuria,12.35,46.67,,8.16,-22.66,,
2024,February,Feb-24,EAS,1,Pteronarcys,5.84,54.47,10.88,0.77,-29.72,,
2024,February,Feb-24,EAS,1,Prosimulium,8.56,43.23,5.89,2.15,-27.08,,
2024,February,Feb-24,EAS,1,Eurylophella,3.65,55.19,17.64,-0.63,-29.29,,
2024,February,Feb-24,EAS,1,Tallaperla,8.92,53.95,7.06,0.74,-28.24,,
2024,February,Feb-24,EAS,2,Helobata/Helocombus,8.74,56.65,7.56,1.61,-27.32,,
2024,February,Feb-24,EAS,3,Pteronarcys,9.13,50.15,6.41,0.06,-27.46,,
2024,February,Feb-24,EAS,3,Prosimulium,8.8,47.57,6.31,2.25,-27.11,,
2024,February,Feb-24,FRY,1,Pteronarcys,9.81,49.28,5.86,0.49,-27.72,,
2024,February,Feb-24,FRY,1,Peltoperla,6.5,60.59,10.88,1.22,-29.5,,
2024,February,Feb-24,FRY,1,Tipula,9.08,39.42,5.06,0.53,-28.13,,
2024,February,Feb-24,FRY,2,Hydatophylax,5.78,47.56,9.6,-1.68,-28.89,,
2024,February,Feb-24,FRY,3,Neophylax,8.17,43.51,6.21,1.17,-27.89,,
2024,February,Feb-24,RIC,1,Atherix,5.73,53.19,10.83,9.16,-27.56,,
2024,February,Feb-24,RIC,1,Cheumatopsyche,6.75,48.13,8.32,5.26,-27.67,,
2024,February,Feb-24,RIC,1,Hydropsyche,5.78,47.96,9.68,6.32,-27.95,,
2024,February,Feb-24,RIC,1,Diplectrona,7.4,47.65,7.51,5.53,-27.4,,
2024,February,Feb-24,RIC,1,Taeniopteryx,10.88,47.94,5.14,5.03,-27.14,,
2024,February,Feb-24,RIC,1,Hydatophylax,5,43.31,10.11,0.7,-28.69,,
2024,February,Feb-24,RIC,1,Acroneuria,10.19,51.32,5.88,8.56,-24.76,,
2024,February,Feb-24,RIC,2,Hydropsyche,10.5,49.71,5.52,6.47,-25.76,,
2024,February,Feb-24,RIC,2,Cheumatopsyche,6.77,49.12,8.46,6.04,-27.71,,
2024,February,Feb-24,RIC,2,Taeniopteryx,10.38,48.67,5.47,5.4,-26.9,,
2024,February,Feb-24,RIC,2,Acroneuria,9.73,39.65,4.75,9.22,-24.26,,
2024,February,Feb-24,RIC,3,Cheumatopsyche,7.05,53.14,8.79,6.42,-27.45,,
2024,February,Feb-24,RIC,3,Taeniopteryx,6.6,46,8.13,4.58,-27.7,,
2024,February,Feb-24,RIC,3,Acroneuria,11.71,60.24,6,7.82,-25.41,,
2024,February,Feb-24,RIC,3,Tipula,9.82,39,4.63,2.14,-27.63,,
2024,February,Feb-24,RIC,1,Orthocladiinae,9.25,44.11,5.56,6.37,-25.56,,
2024,February,Feb-24,RIC,1,Rhyacophila,10.46,48.8,5.44,7.81,-25.84,,sample too small for N
2024,May,May-24,EAS,3,Amphinemura,6.42,41.68,7.57,-0.51,-27.91,,
2024,May,May-24,EAS,3,Peltoperlidae,8.78,48.91,6.5,0.36,-28.07,,
2024,May,May-24,EAS,3,Pteronarcys,7.36,46.86,7.42,-1.11,-28.05,,
2024,May,May-24,EAS,3,Baetis,10.77,50.66,5.49,1.36,-26.56,,
2024,May,May-24,EAS,3,Lepidostoma,7.71,49.53,7.49,-1.79,-27.39,,
2024,May,May-24,EAS,3,Ephemerella,9.09,53.35,6.84,1.47,-27.67,,
2024,May,May-24,EAS,2,Dixa,8.3,43.28,6.09,0.31,-27.03,,
2024,May,May-24,EAS,2,Pteronarcys,10.15,47.94,5.51,-0.16,-27.21,,
2024,May,May-24,EAS,2,Peltoperla,8.67,52.37,7.05,0.35,-28.13,,
2024,May,May-24,EAS,2,Ephemerella,8.65,51.92,7,1.72,-27.89,,
2024,May,May-24,EAS,2,Isoperla,10.63,51.24,5.62,3.08,-27.7,,
2024,May,May-24,EAS,2,Amphinemura,5.91,45.79,9.04,-0.52,-27.84,,
2024,May,May-24,EAS,2,Orthocladiinae,10.36,50.09,5.64,-0.55,-25.51,,
